Company ID number,DMX_ISSUER_NAME,DMX_ISSUER_ID,Country of Classification
358,Shandong Weigao Group Medical Polymer Company Limited,IID000000002183315,CHINA
359,Shenzhen Mindray Bio-Medical Electronics Co Ltd,IID000000002921390,CHINA
360,Winning Health Technology Group Co Ltd,IID000000002625006,CHINA
361,"WuXi AppTec Co., Ltd.",IID000000002839138,CHINA
362,Wuxi Biologics Cayman Inc,IID000000002807983,CHINA
363,"Aier Eye Hospital Group Co., Ltd.",IID000000002453496,CHINA
364,China Medical & HealthCare Group Limited,IID000000002160638,CHINA
365,"China Meheco Group Co., Ltd.",IID000000002160628,CHINA
366,China National Accord Medicines Corporation Ltd.,IID000000002148546,CHINA
367,China National Medicines Corporation Ltd.,IID000000002143123,CHINA
368,CHINA RESOURCES MEDICAL HOLDINGS COMPANY LIMITED,IID000000002680987,CHINA
369,C-Mer Eye Care Holdings Ltd,IID000000002815120,HONG KONG
370,Genertec Universal Medical Group Company Limited,IID000000002685289,CHINA
371,GOLDEN MEDITECH HOLDINGS LIMITED,IID000000002134790,CHINA
372,"HUADONG MEDICINE CO .,LTD",IID000000002169670,CHINA
373,"Jointown Pharmaceutical Group Co., Ltd.",IID000000002602582,CHINA
374,"Meinian Onehealth Healthcare Holdings Co., Ltd.",IID000000002171903,CHINA
375,"Realcan Pharmaceutical Group Co., Ltd.",IID000000002620186,CHINA
376,"Shanghai Pharmaceuticals Holding Co., Ltd.",IID000000002151735,CHINA
377,SINOPHARM GROUP CO. LTD.,IID000000002452605,CHINA
378,Beijing Sports and Entertainment Industry Group Ltd,IID000000002635363,CHINA
379,"BTG Hotels (Group) Co., Ltd.",IID000000002130096,CHINA
380,China International Travel Service Corporation Limited,IID000000002452752,CHINA
381,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,IID000000002161896,CHINA
382,Haichang Ocean Park Holdings Ltd,IID000000002687906,CHINA
383,"Huangshan Tourism Development Co., Ltd.",IID000000002169679,CHINA
384,HUAZHU GROUP LIMITED,IID000000002587948,CHINA
385,MANDARIN ORIENTAL INTERNATIONAL LIMITED,IID000000002143896,HONG KONG
386,REGAL HOTELS INTERNATIONAL HOLDINGS LIMITED,IID000000002181196,HONG KONG
387,"Shanghai Jin Jiang International Hotels Co., Ltd.",IID000000002183343,CHINA
388,SHANGRI-LA ASIA LIMITED,IID000000002183380,HONG KONG
389,"Shenzhen Overseas Chinese Town Co., Ltd.",IID000000002183465,CHINA
390,Songcheng Performance Development Co Ltd,IID000000002605031,CHINA
391,"THE HONGKONG AND SHANGHAI HOTELS, LIMITED",IID000000002123878,HONG KONG
392,Tuniu Corp,IID000000002694407,CHINA
393,VIVA CHINA HOLDINGS LIMITED,IID000000002168283,CHINA
394,HENGAN INTERNATIONAL GROUP COMPANY LIMITED,IID000000002169215,CHINA
395,NVC LIGHTING HOLDING LIMITED,IID000000002591550,CHINA
396,"Shanghai Jahwa United Co., Ltd",IID000000002183338,CHINA
397,VINDA INTERNATIONAL HOLDINGS LIMITED,IID000000002188884,CHINA
398,"Gree Electric Appliances, Inc. of Zhuhai",IID000000002168285,CHINA
399,"HAIER ELECTRONICS GROUP CO., LTD.",IID000000002124352,CHINA
400,"Haier Smart Home Co., Ltd.",IID000000002126711,CHINA
401,Hangzhou Robam Appliances Co Ltd,IID000000002603939,CHINA
402,KASEN INTERNATIONAL HOLDINGS LIMITED,IID000000002149098,CHINA
403,"KONKA GROUP CO., LTD.",IID000000002172942,CHINA
404,MAN WAH HOLDINGS LIMITED,IID000000002174737,HONG KONG
405,"Midea Group Co., Ltd.",IID000000002280968,CHINA
406,"NavInfo Co., Ltd.",IID000000002590576,CHINA
407,Oppein Home Group Inc.,IID000000002801382,CHINA
408,OZNER WATER INTERNATIONAL HOLDING LIMITED,IID000000002702609,CHINA
409,Q Technology (Group) Co Ltd,IID000000002716128,CHINA
410,"QINGDAO HISENSE ELECTRIC CO.,LTD.",IID000000002155077,CHINA
411,Skyworth Group Limited,IID000000002124218,CHINA
412,Suofeiya Home Collection Co Ltd,IID000000002615263,CHINA
413,TCL Corporation,IID000000002130598,CHINA
414,TCL ELECTRONICS HOLDINGS LIMITED,IID000000002185681,CHINA
415,"ZHEJIANG SUPOR CO., LTD",IID000000002190438,CHINA
416,CITIC Limited,IID000000002160572,CHINA
417,CK HUTCHISON HOLDINGS LIMITED,IID000000002726775,HONG KONG
418,FOSUN INTERNATIONAL LIMITED,IID000000002142739,CHINA
419,Glory Sun Financial Group Limited,IID000000002593707,CHINA
420,HOPEWELL HOLDINGS LIMITED,IID000000002169559,HONG KONG
421,JARDINE MATHESON HOLDINGS LIMITED,IID000000002142799,HONG KONG
422,JARDINE STRATEGIC HOLDINGS LIMITED,IID000000002132967,HONG KONG
423,NWS HOLDINGS LIMITED,IID000000002176636,HONG KONG
424,REALORD GROUP HOLDINGS LIMITED,IID000000002161647,CHINA
425,SHANGHAI INDUSTRIAL HOLDINGS LIMITED,IID000000002133088,CHINA
426,SHUN TAK HOLDINGS LIMITED,IID000000002140476,HONG KONG
427,CHINA CONCH VENTURE HOLDINGS LIMITED,IID000000002682770,CHINA
428,China First Heavy Industries,IID000000002575850,CHINA
429,"China International Marine Containers (Group) Co., Ltd.",IID000000002150503,CHINA
430,CIMC ENRIC HOLDINGS LIMITED,IID000000002124329,CHINA
431,HAITIAN INTERNATIONAL HOLDINGS LIMITED,IID000000002149340,CHINA
432,Huangshi Dongbei Electrical Appliance Co Ltd,IID000000002169680,CHINA
433,Jiangsu Hengli Hydraulic Co Ltd,IID000000002629930,CHINA
434,"Shang Gong Group Co., Ltd.",IID000000002134982,CHINA
435,"SHANGHAI HIGHLY (GROUP) CO., LTD.",IID000000002143284,CHINA
436,"Shanghai Mechanical & Electrical Industry Co., Ltd.",IID000000002143230,CHINA
437,"Shenzhen Inovance Technology Co., Ltd",IID000000002599377,CHINA
438,"SIASUN Robot & Automation Co., Ltd.",IID000000002453960,CHINA
439,SINGAMAS CONTAINER HOLDINGS LIMITED,IID000000002183868,HONG KONG
440,TECHTRONIC INDUSTRIES COMPANY LIMITED,IID000000002140672,HONG KONG
441,TIANDI SCIENCE & TECHNOLOGY CO.LTD,IID000000002186844,CHINA
442,TK Group Holdings Ltd,IID000000002682878,HONG KONG
443,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",IID000000002190433,CHINA
444,CHINA PETROCHEMICAL CORPORATION,IID000000002247232,CHINA
445,China Petroleum & Chemical Corporation,IID000000002161850,CHINA
446,"Guanghui Energy Co., Ltd.",IID000000002189937,CHINA
447,PetroChina Company Limited,IID000000002179403,CHINA
448,58.com Inc.,IID000000002679429,CHINA
449,Autohome Inc,IID000000002680237,CHINA
450,"BAIDU, INC.",IID000000002196334,CHINA
451,BITAUTO HOLDINGS LIMITED,IID000000002604665,CHINA
452,FANG HOLDINGS LIMITED,IID000000002600382,CHINA
453,MOMO INC.,IID000000002715389,CHINA
454,SINA CORPORATION,IID000000002182166,CHINA
455,SOHU.COM LIMITED,IID000000002845733,CHINA
456,TENCENT HOLDINGS LIMITED,IID000000002149109,CHINA
457,Tian Ge Interactive Holdings Ltd,IID000000002704606,CHINA
458,WEIBO CORPORATION,IID000000002693026,CHINA
459,Wise Talent Information Technology Co Ltd,IID000000002846391,CHINA
460,YY INC.,IID000000002656090,CHINA
461,BOCOM International Holdings Company Limited,IID000000002358924,HONG KONG
462,Bright Smart Securities & Commodities Group Ltd,IID000000002598143,HONG KONG
463,"Caitong Securities Co., Ltd.",IID000000002261721,CHINA
464,"CENTRAL CHINA SECURITIES CO., LTD.",IID000000002261702,CHINA
465,Changjiang Securities Company Limited,IID000000002161539,CHINA
466,China Everbright Limited,IID000000002161773,CHINA
467,"China Galaxy Securities Co., Ltd.",IID000000002261936,CHINA
468,China International Capital Corporation Limited,IID000000002252447,CHINA
469,"China Merchants Securities Co., Ltd",IID000000002253926,CHINA
470,"China Securities Co., Ltd.",IID000000002239559,CHINA
471,China Tonghai International Financial Limited,IID000000002133967,HONG KONG
472,CITIC Securities Company Limited,IID000000002142010,CHINA
473,CMBC CAPITAL HOLDINGS LIMITED,IID000000002189926,HONG KONG
474,DONGXING SECURITIES Company Limited,IID000000002398298,CHINA
475,EMPEROR CAPITAL GROUP LIMITED,IID000000002165255,HONG KONG
476,Everbright Securities Company Limited,IID000000002260646,CHINA
477,"First Capital Securities Co., Ltd.",IID000000002253102,CHINA
478,"Founder Securities Co., Ltd.",IID000000002624594,CHINA
479,GF Securities Company Limited,IID000000002190058,CHINA
480,"GUOSEN SECURITIES CO., LTD.",IID000000002261365,CHINA
481,Guotai Junan International Holdings Limited,IID000000002594790,HONG KONG
482,"Guotai Junan Securities Co., Ltd.",IID000000002237413,CHINA
483,GUOYUAN SECURITIES COMPANY LIMITED,IID000000002140154,CHINA
484,HAITONG INTERNATIONAL SECURITIES GROUP LIMITED,IID000000002186054,HONG KONG
485,"Haitong Securities Co., Ltd.",IID000000002151747,CHINA
486,"HUAAN SECURITIES CO., LTD.",IID000000002260545,CHINA
487,"HUATAI SECURITIES CO.,LTD.",IID000000002260567,CHINA
488,"Huaxi Securities Co., Ltd.",IID000000002254203,CHINA
489,"INDUSTRIAL SECURITIES CO., LTD.",IID000000002251948,CHINA
490,"Northeast Securities Co., Ltd.",IID000000002177602,CHINA
491,ORIENT SECURITIES COMPANY LIMITED,IID000000002261423,CHINA
492,"Polaris Bay Group Co., Ltd.",IID000000002138249,CHINA
493,"SDIC Capital Co., Ltd.",IID000000002130102,CHINA
494,"SEALAND SECURITIES CO., LTD.",IID000000002131864,CHINA
495,"SHANXI SECURITIES CO., LTD.",IID000000002259596,CHINA
496,"Shenwan Hongyuan Group CO., LTD",IID000000002261512,CHINA
497,"Sinolink Securities Co., Ltd.",IID000000002183909,CHINA
498,"Soochow Securities Co., Ltd.",IID000000002260131,CHINA
499,"Southwest Securities Co., Ltd.",IID000000002261756,CHINA
500,"The Pacific Securities Co., Ltd.",IID000000002186756,CHINA
501,"WESTERN SECURITIES CO., LTD.",IID000000002261678,CHINA
502,Yintech Investment Holdings Ltd,IID000000002764436,CHINA
503,"Zheshang Securities Co., Ltd.",IID000000002277056,CHINA
504,BESTWAY GLOBAL HOLDING INC.,IID000000002820857,CHINA
505,GOODBABY INTERNATIONAL HOLDINGS LIMITED,IID000000002604476,CHINA
506,"SHANGHAI PHOENIX ENTERPRISE (GROUP) CO., LTD.",IID000000002143169,CHINA
507,AIA Group Limited,IID000000002602581,HONG KONG
508,China Life Insurance Company Limited,IID000000002161817,CHINA
509,China Taiping Insurance Holdings Company Limited,IID000000002150000,CHINA
510,"Hubei Biocause Pharmaceutical Co., Ltd",IID000000002169685,CHINA
511,NEW CHINA LIFE INSURANCE COMPANY LTD.,IID000000002256341,CHINA
512,"Ping An Insurance (Group) Company of China, Ltd.",IID000000002179617,CHINA
513,COSCO SHIPPING Development Company Limited,IID000000002132855,CHINA
514,"COSCO SHIPPING Holdings Co., Ltd.",IID000000002149331,CHINA
515,PACIFIC BASIN SHIPPING LIMITED,IID000000002178747,HONG KONG
516,Seaspan Corporation,IID000000002183004,CHINA
517,SITC International Holdings Co Ltd,IID000000002600817,HONG KONG
518,Alibaba Pictures Group Limited,IID000000002140894,CHINA
519,"Beijing Enlight Media Co., Ltd.",IID000000002624210,CHINA
520,"Beijing Gehua CATV Network Co., Ltd.",IID000000002155065,CHINA
521,Changyou.Com Ltd,IID000000002396810,CHINA
522,"China Film Co., Ltd.",IID000000002685316,CHINA
523,China Literature Ltd,IID000000002820982,CHINA
524,China South Publishing & Media Group Co Ltd,IID000000002602309,CHINA
525,"Chinese Universe Publishing and Media Group Co., Ltd.",IID000000002171918,CHINA
526,"CITIC Guoan Information Industry Co., Ltd.",IID000000002160571,CHINA
527,DIGITAL DOMAIN HOLDINGS LIMITED,IID000000002149120,HONG KONG
528,FingerTango Inc,IID000000002857664,CHINA
529,"Focus Media Information Technology Co., Ltd.",IID000000002168676,CHINA
530,Giant Network Group Co Ltd,IID000000002611317,CHINA
531,HUANXI MEDIA GROUP LIMITED,IID000000002167220,CHINA
532,IGG Inc,IID000000002678819,CHINA
533,IMAX China Holding Inc,IID000000002735658,CHINA
534,"IQIYI, INC.",IID000000002837426,CHINA
535,Jiangsu Broadcasting Cable Information Network Corporation Limited,IID000000002650145,CHINA
536,Leyou Technologies Holdings Ltd,IID000000002607982,HONG KONG
537,Mango Excellent Media Co Ltd,IID000000002720077,CHINA
538,Netdragon Websoft Holdings Ltd,IID000000002132610,CHINA
539,"NETEASE, INC.",IID000000002201853,CHINA
540,NOVA Group Holdings Limited,IID000000002679397,HONG KONG
541,People.cn Co Ltd,IID000000002643938,CHINA
542,Perfect World Co Ltd,IID000000002629178,CHINA
543,PHOENIX MEDIA INVESTMENT (HOLDINGS) LIMITED,IID000000002153470,CHINA
544,Poly Culture Group Corporation Limited,IID000000002685734,CHINA
545,"Shanghai Oriental Pearl Group Co., Ltd.",IID000000002182372,CHINA
546,SMI HOLDINGS GROUP LIMITED,IID000000002123786,CHINA
547,TELEVISION BROADCASTS LIMITED,IID000000002133104,HONG KONG
548,Tencent Music Entertainment Group,IID000000002929511,CHINA
549,"VISUAL CHINA GROUP CO.,LTD.",IID000000002148632,CHINA
550,"WUHU SANQI INTERACTIVE ENTERTAINMENT NETWORK TECHNOLOGY GROUP CO., LTD.",IID000000002611311,CHINA
551,"YOUZU Interactive CO., LTD.",IID000000002131987,CHINA
552,AGRITRADE RESOURCES LIMITED,IID000000002124346,HONG KONG
553,Aluminum Corporation of China Limited,IID000000002149396,CHINA
554,Chiho Environmental Group Limited,IID000000002594891,CHINA
555,China Coal Energy Company Limited,IID000000002149341,CHINA
556,CHINA HONGQIAO GROUP LIMITED,IID000000002610179,CHINA
557,CHINA METAL RESOURCES UTILIZATION LIMITED,IID000000002686779,CHINA
558,"China Molybdenum Co., Ltd.",IID000000002161828,CHINA
559,"China Northern Rare Earth (Group) High-Tech Co., Ltd.",IID000000002146689,CHINA
560,China Shenhua Energy Company Limited,IID000000002141621,CHINA
561,CHINA ZHONGWANG HOLDINGS LIMITED,IID000000002266696,CHINA
562,"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",IID000000002142157,CHINA
563,"Inner Mongolia Eerduosi Resources Co., Ltd.",IID000000002126801,CHINA
564,"INNER MONGOLIA YITAI COAL CO., LTD",IID000000002170666,CHINA
565,Jiangxi Copper Company Limited,IID000000002171913,CHINA
566,Jinchuan Group International Resources Co Ltd,IID000000002124476,CHINA
567,Jinduicheng Molybdenum Co Ltd,IID000000002196598,CHINA
568,"Jizhong Energy Resources Co., Ltd.",IID000000002148530,CHINA
569,MMG Limited,IID000000002175764,CHINA
570,Shaanxi Coal Industry Company Limited,IID000000002679662,CHINA
571,"Shandong Nanshan Aluminium Co., Ltd.",IID000000002183310,CHINA
572,"Shanxi Lu'an Environmental Energy Dev. Co., Ltd",IID000000002183388,CHINA
573,"Shanxi Xishan Coal and Electricity Power Co., Ltd.",IID000000002146900,CHINA
574,"Shenghe Resources Holding Co., Ltd.",IID000000002133613,CHINA
575,SHENZHEN ZHONGJIN LINGNAN NONFEMET CO. LTD.,IID000000002133895,CHINA
576,"Tongling Nonferrous Metals Group Co., Ltd.",IID000000002187043,CHINA
577,"Western Mining Co., Ltd.",IID000000002134896,CHINA
578,"Xiamen Tungsten Co., Ltd.",IID000000002189916,CHINA
579,"Yang Quan Coal Industry (Group) Co., Ltd.",IID000000002183386,CHINA
580,Yanzhou Coal Mining Company Limited,IID000000002190075,CHINA
581,"Yintai Resources Co., Ltd.",IID000000002182912,CHINA
582,"Yunnan Chihong Zinc & Germanium Co., Ltd.",IID000000002134257,CHINA
583,"Yunnan Tin Co., Ltd.",IID000000002131906,CHINA
584,"ZHEJIANG HUAYOU COBALT CO., LTD",IID000000002649797,CHINA
585,"Shandong Gold Mining Co., Ltd.",IID000000002183294,CHINA
586,Zhaojin Mining Industry Company Limited,IID000000002149334,CHINA
587,"ZHONGJIN GOLD CORP., LTD",IID000000002190454,CHINA
588,Zijin Mining Group Company Limited,IID000000002190469,CHINA
589,"CHINA PACIFIC INSURANCE (GROUP) CO., LTD.",IID000000002151647,CHINA
590,CHINA REINSURANCE (GROUP) CORPORATION,IID000000002262553,CHINA
591,Fanhua Inc,IID000000002199774,CHINA
592,"Xishui Strong Year Co., Ltd. Inner Mongolia",IID000000002189952,CHINA
593,CNOOC LIMITED,IID000000002140797,CHINA
594,SHANDONG XINCHAO ENERGY CORPORATION LIMITED,IID000000002190074,CHINA
595,CHINA LNG GROUP LIMITED,IID000000002140299,CHINA
596,"China Merchants Energy Shipping Co., Ltd.",IID000000002125581,CHINA
597,China Suntien Green Energy Corporation Limited,IID000000002601573,CHINA
598,"COSCO Shipping Energy Transportation Co., Ltd.",IID000000002161873,CHINA
599,NEWOCEAN ENERGY HOLDINGS LIMITED,IID000000002136166,HONG KONG
600,"Oriental Energy Co., Ltd.",IID000000002190409,CHINA
601,Sinopec Kantons Holdings Limited,IID000000002149237,CHINA
602,Yuan Heng Gas Holdings Limited,IID000000002149102,CHINA
603,LEE & MAN PAPER MANUFACTURING LIMITED,IID000000002140919,CHINA
604,NINE DRAGONS PAPER (HOLDINGS) LIMITED,IID000000002177375,CHINA
605,"SHAN DONG SUN PAPER INDUSTRY JOINT STOCK CO., LTD.",IID000000002183289,CHINA
606,Shandong Chenming Paper Holdings Limited,IID000000002138067,CHINA
607,"SHANYING INTERNATIONAL HOLDINGS CO., LTD.",IID000000002157474,CHINA
608,Beijing Tong Ren Tang Chinese Medicine Co Ltd,IID000000002666872,CHINA
609,"BEIJING TONGRENTANG CO., LTD",IID000000002141798,CHINA
610,Changchun High & New Technology Industries (Group) Inc.,IID000000002161534,CHINA
611,Chengdu Kanghong Pharmaceutical Group Co Ltd,IID000000002735218,CHINA
612,CHINA GRAND PHARMACEUTICAL AND HEALTHCARE HOLDINGS LIMITED,IID000000002175056,CHINA
613,CHINA MEDICAL SYSTEM HOLDINGS LIMITED,IID000000002161824,CHINA
614,"China Resources Double-crane Pharmaceutical Co., Ltd.",IID000000002141534,CHINA
615,CHINA RESOURCES PHARMACEUTICAL GROUP LIMITED,IID000000002736361,CHINA
616,"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.",IID000000002182659,CHINA
617,CHINA SHINEWAY PHARMACEUTICAL GROUP LIMITED,IID000000002149497,CHINA
618,China Traditional Chinese Medicine Holdings Co. Limited,IID000000002140683,CHINA
619,Consun Pharmaceutical Group Ltd,IID000000002682769,CHINA
620,CSPC PHARMACEUTICAL GROUP LIMITED,IID000000002133437,CHINA
621,Dawnrays Pharmaceutical (Holdings) Ltd,IID000000002163746,CHINA
622,"Dong-E-E-Jiao Co., Ltd.",IID000000002125917,CHINA
623,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,IID000000002132579,CHINA
624,Guizhou Bailing Group Pharmaceutical Co Ltd,IID000000002591988,CHINA
625,"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",IID000000002126627,CHINA
626,"Humanwell Healthcare (Group) Co., Ltd.",IID000000002189822,CHINA
627,Hutchison China MediTech Ltd,IID000000002169769,CHINA
628,"JIANGSU HENGRUI MEDICINE CO.,LTD.",IID000000002135147,CHINA
629,"Jilin Aodong Pharmaceutical Group Co., Ltd.",IID000000002171927,CHINA
630,"Joincare Pharmaceutical Group Industry Co.,Ltd.",IID000000002171988,CHINA
631,LEE'S PHARMACEUTICAL HOLDINGS LIMITED,IID000000002150104,CHINA
632,LIVZON PHARMACEUTICAL GROUP INC.,IID000000002139649,CHINA
633,LUYE PHARMA GROUP LTD.,IID000000002158060,CHINA
634,Shandong Buchang Pharmaceuticals Co Ltd,IID000000002679659,CHINA
635,SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,IID000000002132463,CHINA
636,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",IID000000002183330,CHINA
637,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",IID000000002133428,CHINA
638,"Shanghai Haixin Group Co., Ltd.",IID000000002183332,CHINA
639,"SHENZHEN HEPALINK PHARMACEUTICAL GROUP CO., LTD.",IID000000002589757,CHINA
640,"SHENZHEN SALUBRIS PHARMACEUTICALS CO., LTD.",IID000000002451437,CHINA
641,"Shijiazhuang Yiling Pharmaceutical Co., Ltd.",IID000000002623968,CHINA
642,"Sichuan Kelun Pharmaceutical Co., Ltd.",IID000000002591999,CHINA
643,Sihuan Pharmaceutical Holdings Group Ltd,IID000000002144626,CHINA
644,SINO BIOPHARMACEUTICAL LIMITED,IID000000002183886,CHINA
645,SSY GROUP LIMITED,IID000000002132727,CHINA
646,"TASLY PHARMACEUTICAL GROUP CO.,LTD.",IID000000002143133,CHINA
647,THE UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED,IID000000002186761,HONG KONG
648,"Tong Ren Tang Technologies Co., Ltd.",IID000000002149793,CHINA
649,"Tonghua Dongbao Pharmaceutical Co., Ltd.",IID000000002143264,CHINA
650,YiChang HEC ChangJiang Pharmaceutical Co Ltd,IID000000002750161,CHINA
651,"YIFAN PHARMACEUTICAL CO.,LTD.",IID000000002148555,CHINA
652,"YUNNAN BAIYAO GROUP CO., LTD",IID000000002190202,CHINA
653,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL.LTD,IID000000002190411,CHINA
654,"Zhejiang CONBA Pharmaceutical Co., Ltd.",IID000000002134930,CHINA
655,"Zhejiang Huahai Pharmaceutical Co., Ltd.",IID000000002151652,CHINA
656,ZHEJIANG NHU COMPANY LTD.,IID000000002131925,CHINA
657,"51JOB, INC.",IID000000002199177,CHINA
658,PICC Property and Casualty Company Limited,IID000000002178611,CHINA
659,The People's Insurance Company (Group) of China Limited,IID000000002640017,CHINA
660,ZhongAn Online P & C Insurance Co Ltd,IID000000002772799,CHINA
661,AGILE GROUP HOLDINGS LIMITED,IID000000002132917,CHINA
662,"Beijing Capital Development Co., Ltd",IID000000002141111,CHINA
663,BEIJING CAPITAL LAND LTD.,IID000000002149496,CHINA
664,Beijing North Star Company Limited,IID000000002159381,CHINA
665,C&D INTERNATIONAL INVESTMENT GROUP LIMITED,IID000000002656696,CHINA
666,Carnival Group International Holdings Limited,IID000000002178355,CHINA
667,CENTRAL CHINA REAL ESTATE LIMITED,IID000000002289088,CHINA
668,China Aoyuan Group Limited,IID000000002149532,CHINA
669,China Enterprise Company Limited,IID000000002161769,CHINA
670,CHINA EVERGRANDE GROUP,IID000000002196477,CHINA
671,"CHINA FORTUNE LAND DEVELOPMENT CO., LTD.",IID000000002132155,CHINA
672,China Jinmao Holdings Group Limited,IID000000002149157,CHINA
673,CHINA MERCHANTS LAND LIMITED,IID000000002150001,CHINA
674,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",IID000000002751338,CHINA
675,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,IID000000002183422,CHINA
676,CHINA OVERSEAS LAND & INVESTMENT LTD.,IID000000002161849,CHINA
677,CHINA RESOURCES LAND LIMITED,IID000000002124385,CHINA
678,CHINA SCE GROUP HOLDINGS LIMITED,IID000000002576018,CHINA
679,China South City Holdings Limited,IID000000002394492,CHINA
680,"CHINA VANKE CO., LTD.",IID000000002142203,CHINA
681,CHINA VAST INDUSTRIAL URBAN DEVELOPMENT COMPANY LIMITED,IID000000002708348,CHINA
682,CHINESE ESTATES HOLDINGS LIMITED,IID000000002140274,HONG KONG
683,CIFI HOLDINGS (GROUP) CO. LTD.,IID000000002655773,CHINA
684,CK ASSET HOLDINGS LIMITED,IID000000002732325,HONG KONG
685,COUNTRY GARDEN HOLDINGS COMPANY LIMITED,IID000000002131818,CHINA
686,CSI PROPERTIES LIMITED,IID000000002149099,HONG KONG
687,EMPEROR INTERNATIONAL HOLDINGS LIMITED,IID000000002165257,HONG KONG
688,"FANTASIA HOLDINGS GROUP CO., LIMITED",IID000000002571153,CHINA
689,FAR EAST CONSORTIUM INTERNATIONAL LIMITED,IID000000002132126,HONG KONG
690,"FINANCIAL STREET HOLDINGS CO., LTD.",IID000000002166417,CHINA
691,FUTURE LAND DEVELOPMENT HOLDINGS LIMITED,IID000000002655926,CHINA
692,Gemdale Corporation,IID000000002125041,CHINA
693,Gemdale Properties and Investment Corporation Limited,IID000000002140665,CHINA
694,Glorious Property Holdings Limited,IID000000002452793,CHINA
695,GLORY LAND COMPANY LIMITED,IID000000002704357,CHINA
696,"GRANDJOY HOLDINGS GROUP CO., LTD.",IID000000002148543,CHINA
697,GREAT EAGLE HOLDINGS LIMITED,IID000000002168248,HONG KONG
698,Greenland Holdings Corporation Limited,IID000000002126726,CHINA
699,GREENLAND HONG KONG HOLDINGS LIMITED,IID000000002130176,CHINA
700,GREENTOWN CHINA HOLDINGS LIMITED,IID000000002168323,CHINA
701,Ground International Development Limited,IID000000002161829,CHINA
702,Guangdong Land Holdings Limited,IID000000002172770,CHINA
703,"Guangzhou R&F Properties Co., Ltd.",IID000000002168487,CHINA
704,HANG LUNG PROPERTIES LIMITED,IID000000002168903,HONG KONG
705,HENDERSON LAND DEVELOPMENT COMPANY LIMITED,IID000000002140250,HONG KONG
706,HKC (HOLDINGS) LIMITED,IID000000002148804,CHINA
707,HOPSON DEVELOPMENT HOLDINGS LIMITED,IID000000002169561,CHINA
708,"Jiangsu Zhongnan Construction Group Co., Ltd.",IID000000002163599,CHINA
709,JIAYUAN INTERNATIONAL GROUP LIMITED,IID000000002751335,CHINA
710,JINGRUI HOLDINGS LIMITED,IID000000002679023,CHINA
711,"Jinke Property Group Co., Ltd.",IID000000002161960,CHINA
712,Joy City Property Limited,IID000000002144940,CHINA
713,K. WAH INTERNATIONAL HOLDINGS LIMITED,IID000000002132310,HONG KONG
